"","theta"
"260",0.169306550807609
"261",1.12806887352862
"262",-0.0604071264794529
"263",0.653068824282869
"264",-1.13430154755363
"265",-0.106672709354374
"266",-0.59964881111551
"267",-0.566189063706285
"268",-0.160275676145413
"269",0.873854794163107
"270",-0.145685776003504
"271",-0.502666399686827
"272",0.32695096044691
"273",-1.41007727077259
"274",-0.133677559799069
"275",-1.20657959677031
"276",0.685216778777171
"277",-0.0740800062939686
"278",0.264925633280502
"279",0.709535137144368
"280",-1.42541370970252
"281",-1.21298051608603
"282",0.115641980436892
"283",-0.572450215040564
"284",0.418280758921004
"285",0.412104928146369
"286",0.742172209128657
"287",1.27522055856526
"288",0.0570466074789673
"289",-0.162658645024395
"290",-1.53782302624062
"291",-1.99914221067596
"292",-0.602585109723583
"293",-0.890131556571095
"294",-1.32485449963441
"295",0.266628920582104
"296",0.22114228064011
"297",-1.35492074446549
"298",0.168208871520724
"299",-0.831808034509776
"300",-0.420338405849708
"301",-0.616547354837267
"302",-0.422078762799761
"303",-0.47944040263374
"304",-0.0311653579123447
"305",-0.55193783903272
"306",-0.145855253789993
"307",0.472017180104108
"308",0.971794863726365
"309",0.663879088627427
"310",-0.141735945851166
"311",0.0981526132161879
"312",0.353055385200027
"313",0.20323144031286
"314",-1.60941707507835
"315",-0.845106701352598
"316",-0.600681311262172
"317",-0.438874993953865
"318",0.506105662912816
"319",-1.25497129893302
"320",1.01979650696709
"321",0.928703848886549
"322",-0.214150258403577
"323",-0.62832316509393
"324",0.945865774717609
"325",1.44084628287678
"326",0.847833621195161
"327",-0.693100225622881
"328",0.383536403193882
"329",0.815076766682183
"330",0.140713111599051
"331",-0.137878247252165
"332",-0.591985530939414
"333",0.132040803976433
"334",-0.439978920540955
"335",-0.854610437823103
"336",0.338938876373208
"337",0.200643577406533
"338",-0.779488915281786
"339",0.354058494721275
"340",1.26252382554626
"341",0.0675630720172028
"342",-0.141215144173858
"343",0.886848809500652
"344",0.136797457543349
"345",-0.516143848762883
"346",1.0431124899098
"347",0.0886800350204557
"348",1.08369612516705
"349",0.787326876449632
"350",-0.250585651853954
"351",1.5427137856955
"352",-0.812330938786722
"353",0.861530245007605
"354",1.59826417115384
"355",0.353143095654706
"356",-0.197247758359978
"357",0.0499930399725161
"358",-2.60337328120961
"359",-0.634958932360918
"360",-1.996083475119
"361",1.17604300488436
"362",-0.956736128304329
"363",0.0112998211642175
"364",0.322077184018888
"365",0.720818680027339
"366",1.27041216450576
"367",-0.758800699395494
"368",-1.02154109932839
"369",-0.878473472642749
"370",1.52574065048254
"371",-0.845260223802218
"372",0.981677458709034
"373",0.0231435161446668
"374",0.193654570673597
"375",-0.0729905783051056
"376",0.153591228873908
"377",1.83675583732156
