"","theta"
"138",0.195573543867286
"139",-1.61911622362379
"140",0.999478106693163
"141",0.114196305284882
"142",1.04084909567853
"143",0.102107469344551
"144",-0.427281864580086
"145",-0.138883655907391
"146",0.725289327227615
"147",-1.80910178016153
"148",0.00651051261846236
"149",1.50526151766013
"150",-0.31166208556676
"151",0.0708049609614411
"152",-0.0216196492004366
"153",-1.07023737377226
"154",0.617908746293144
"155",0.835311176338451
"156",-0.0335679188005398
"157",-0.860279615168131
"158",-0.162076292853975
"159",1.09861594429286
"160",-1.33738754092542
"161",-1.13098093748887
"162",0.391687126005078
"163",0.0739915538274658
"164",0.640492479204955
"165",-0.810484192472767
"166",-0.0105856551877222
"167",-0.309161802548548
"168",1.04770211808325
"169",0.810604627850808
"170",-1.09467881002546
"171",-0.659099458344389
"172",-1.27877473035293
"173",0.596449922786343
"174",-0.474045992567215
"175",-1.78798756626777
"176",1.18906281955668
"177",-1.20911137516104
"178",-0.50481595735538
"179",-2.66109598816252
"180",-0.642821023210628
"181",0.895835495566232
"182",0.310081674092073
"183",0.543927088741528
"184",0.67128573398278
"185",0.163623931574038
"186",-0.0264565142477403
"187",0.147959837729065
"188",-0.472188748392008
"189",-1.456100034219
"190",-0.621075555603866
"191",1.10360220423244
"192",0.682906409607372
"193",-0.511521321508942
"194",1.46385888695089
"195",1.04016897691781
"196",-1.90574363077699
"197",-0.934079996961757
"198",0.639162396241536
"199",0.011746536165676
"200",1.21450416047719
"201",-0.452388645791056
"202",0.203270359310304
"203",0.598171596057727
"204",-0.933341615797674
"205",-1.13891310052822
"206",0.0225082005720559
"207",0.991988772284003
"208",-0.468086692083445
"209",-0.927815696438227
"210",-1.45081229361856
"211",1.51346981119997
"212",-0.639746778871647
"213",-1.64394804970875
"214",-0.00280251751633728
"215",-0.0229252293049146
"216",1.11048887571957
"217",-0.58973539499523
"218",0.866403571850304
"219",-1.63165283692532
"220",0.787300742839574
"221",0.324346722042029
"222",-0.493728694717311
"223",-0.305267963773904
"224",-0.61962123415209
"225",0.625913822627775
"226",-1.08203949571919
"227",-2.2101351728695
"228",0.838033400377525
"229",1.12055963670763
"230",0.930209977329765
"231",0.0464572462592667
"232",-0.898319195897093
"233",-1.39430936278199
"234",0.562793677241011
"235",0.0751885315697961
"236",-0.704338214355136
"237",0.0489337581738174
"238",-0.230558437603264
"239",0.419030776940351
"240",0.311726457720043
"241",-1.00256234729537
"242",0.593394170296522
"243",-0.827102052034527
"244",-1.47876044153918
"245",0.404344084138285
"246",-0.623527203367797
"247",-0.678569160450583
"248",1.04215791101286
"249",-0.386878212887794
"250",0.933786599982716
"251",-0.000214324236536819
"252",-2.31088575426178
"253",-0.17090595047093
"254",-0.563906314213898
"255",0.211507124639042
"256",-0.00354639384146317
"257",1.09392772734229
"258",-0.10795545666433
"259",-1.08786807874699
"260",-0.094894092080318
"261",1.18878176009709
